12	100	32	1	60
12	100	32	2	60
12	100	32	3	60
12	100	32	4	60
12	100	32	5	60
12	100	32	6	60
12	100	32	7	60
12	100	32	8	60
12	100	32	9	60
12	100	32	10	60
12	100	32	11	60
12	100	32	12	60
12	100	32	13	60
12	100	32	14	60
12	100	32	15	60
12	100	32	16	60
12	100	32	17	60
12	100	32	18	60
12	100	32	19	60
12	100	32	20	60
12	100	32	21	60
12	100	32	22	60
12	100	32	23	60
12	100	32	24	60
12	100	32	25	60
12	100	32	26	60
12	100	32	27	60
12	100	32	28	60
12	100	32	29	60
12	100	32	30	60
12	100	32	31	60
12	100	32	32	60
12	100	32	33	60
12	100	32	34	60
12	100	32	35	60
12	100	32	36	60
12	100	32	37	60
12	100	32	38	60
12	100	32	39	60
12	100	32	40	60
12	100	32	41	60
12	100	32	42	60
12	100	32	43	60
12	100	32	44	60
12	100	32	45	60
12	100	32	46	60
12	100	32	47	60
12	100	32	48	60
12	100	32	49	60
12	100	32	50	60
12	100	32	51	60
12	100	32	52	60
12	100	32	53	60
12	100	32	54	60
12	100	32	55	60
12	100	32	56	60
12	100	32	57	60
12	100	32	58	60
12	100	32	59	60
12	100	32	1	59
12	100	32	2	59
12	100	32	3	59
12	100	32	4	59
12	100	32	5	59
12	100	32	6	59
12	100	32	7	59
12	100	32	8	59
12	100	32	9	59
12	100	32	10	59
12	100	32	11	59
12	100	32	12	59
12	100	32	13	59
12	100	32	14	59
12	100	32	15	59
12	100	32	16	59
12	100	32	17	59
12	100	32	18	59
12	100	32	19	59
12	100	32	20	59
12	100	32	21	59
12	100	32	22	59
12	100	32	23	59
12	100	32	24	59
12	100	32	25	59
12	100	32	26	59
12	100	32	27	59
12	100	32	28	59
12	100	32	29	59
12	100	32	30	59
12	100	32	31	59
12	100	32	32	59
12	100	32	33	59
12	100	32	34	59
12	100	32	35	59
12	100	32	36	59
12	100	32	37	59
12	100	32	38	59
12	100	32	39	59
12	100	32	40	59
12	100	32	41	59
12	100	32	42	59
