12	150	32	1
12	150	32	2
12	150	32	3
12	150	32	4
12	150	32	5
12	150	32	6
12	150	32	7
12	150	32	8
12	150	32	9
12	150	32	10
12	150	32	11
12	150	32	12
12	150	32	13
12	150	32	14
12	150	32	15
12	150	32	16
12	150	32	17
12	150	32	18
12	150	32	19
12	150	32	20
12	150	32	21
12	150	32	22
12	150	32	23
12	150	32	24
12	150	32	25
12	150	32	26
12	150	32	27
12	150	32	28
12	150	32	29
12	150	32	30
12	150	32	31
12	150	32	32
12	150	32	33
12	150	32	34
12	150	32	35
12	150	32	36
12	150	32	37
12	150	32	38
12	150	32	39
12	150	32	40
12	150	32	41
12	150	32	42
12	150	32	43
12	150	32	44
12	150	32	45
12	150	32	46
12	150	32	47
12	150	32	48
12	150	32	49
12	150	32	50
12	150	32	51
12	150	32	52
12	150	32	53
12	150	32	54
12	150	32	55
12	150	32	56
12	150	32	57
12	150	32	58
12	150	32	59
12	150	32	60
